id,name,price,unit,category,top_category,subcategory,category_url,image_url
p00142,Ching's Secret Chowmein Noodles (with Free Masala Pouch),30,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00143,Nissin Geki Korean Ramen Spicy Cheese Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00144,Nissin Geki Spicy Cheese Korean Ramen Noodles,55,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00145,Yu Creamy Hot Sauce Korean Ramen Instant Noodles - Pack of 3,168,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00146,Yu Creamy Hot Sauce Korean Ramen Instant Noodles,60,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00147,Yu Creamy Hot Sauce Korean Ramen Instant Noodles - Pack of 2,117,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00148,Top Ramen Curry Veg Noodles - Pack of 2,182,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00149,Top Ramen Curry Veg Noodles,93,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00150,Otoki Jin Ramen Spicy Noodles,132,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00151,Nissin Geki Korean Ramen Spicy Kimchi Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00152,Nissin Geki Spicy Kimchi Korean Ramen Noodles,234,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
