name,price,unit,category,subcategory,category_url,image_url
"Puro Healthy Salt, Rock Salt",99,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Sugar Powder,43,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
TMI Colman Jaggery,43,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Uttam Sugar Sulphurfree Sugar Powder (Bura),50,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Madhur Pure & Hygienic Sulphurless Sugar (M30),310,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Catch Black Salt,28,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
"Tata Plus Iron Health, Double Fortified Salt",35,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Dhampure Mishri,26,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Uttam Sugar Candy Mishri,25,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Yippee Magic Masala Instant Noodles with Added Veggies - Pack of 2,107,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yippee Magic Masala Instant Noodles with Added Veggies,90,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Masala - 2 Minutes Instant Noodles Made With Quality Spices - Pack of 2,119,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Masala - 2 Minutes Instant Noodles Made With Quality Spices,60,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Double Masala Instant Noodles - Pack of 4,76,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Double Masala Instant Noodles,20,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
